X,Y,OBJECTID,GLOBAL_ID,NAME,LATITUDE,LONGITUDE,CITY,STATE,STATUS_CODE,OPENING_ON
-84.467630556,33.8906277780001,142,0B153F2E-E8CE-483C-900C-AB8353C7D1F4,Truist Park,33-53-26.26N,084-28-03.47W,Atlanta,GA,Open,
-82.4209194439999,38.424927778,143,1B70604B-B2F0-4B2C-8FFC-97FE487A235D,Joan C. Edwards Stadium,38-25-29.74N,082-25-15.31W,Huntington,WV,Open,
-72.618827778,41.7596194440001,144,90DF645E-133F-4F3C-959C-EC11ADEE67C3,Pratt & Whitney Stadium at Rentschler Field,41-45-34.63N,072-37-07.78W,Hartford,CT,Open,
-119.817538889,39.546919444,145,975D91AD-59D7-45EE-8A6F-ED79B75704EE,Mackay Stadium,39-32-48.91N,119-49-03.14W,Reno,NV,Open,
-84.770819444,43.577619444,146,7444ACAE-9D77-4CA6-B6A3-A1DE197FCDE5,Kelly/Shorts Stadium,43-34-39.43N,084-46-14.95W,Mount Pleasant,MI,Open,
-83.019719444,40.001677778,147,8CCDB64E-F9CE-44C8-9A2E-32D0CCDE4B31,Ohio Stadium,40-00-06.04N,083-01-10.99W,Columbus,OH,Open,
-122.301558333,47.6503000000001,148,001E89FB-8863-4DAA-A124-33F86F1D4FB1,Alaska Airlines Field at Husky Stadium,47-39-01.08N,122-18-05.61W,Seattle,WA,Open,
-93.013291667,41.674730556,149,265166C6-8A2C-4CFE-82CA-649757305F49,Iowa Speedway,41-40-29.03N,093-00-47.85W,Newton,IA,Open,
-87.616697222,41.8623555560001,150,74E1506D-C518-44E1-8297-BC773BE8F848,Soldier Field,41-51-44.48N,087-37-00.11W,Chicago,IL,Open,
-122.250708333,37.871,151,F69CC845-9E39-48BF-A007-F62D259F95D0,California Memorial Stadium,37-52-15.60N,122-15-02.55W,Berkeley,CA,Open,
-90.0813138889999,29.9510527780001,152,AADBA228-DD68-4DF6-82D9-9260E028008B,Caesars Superdome,29-57-03.79N,090-04-52.73W,New Orleans,LA,Open,
-110.948794444,32.2288833330001,153,303AA4D7-B4F3-4717-A823-4C98968A4286,Arizona Stadium,32-13-43.98N,110-56-55.66W,Tucson,AZ,Open,
-76.9259888889999,42.3361694440001,154,EE692294-392A-4AC3-8AA5-BB7724073C12,Watkins Glen International,42-20-10.21N,076-55-33.56W,Watkins Glen,NY,Open,
-86.771277778,36.1664500000001,155,A54B9201-D762-43DC-B4CE-A3D7769476E9,Nissan Stadium,36-09-59.22N,086-46-16.60W,Nashville,TN,Open,
-85.489188889,32.602197222,156,5089AC10-B1E7-4D72-B49E-17A0A9F49BB5,Jordan-Hare Stadium,32-36-07.91N,085-29-21.08W,Auburn,AL,Open,
-97.442308333,35.2058388890001,157,18AE672C-B5A6-4183-8D19-56E99E80C333,Gaylord Family-Oklahoma Memorial Stadium,35-12-21.02N,097-26-32.31W,Norman,OK,Open,
-88.235955556,40.099341667,158,EA9CDE38-5E4D-4B77-ABC0-088D1CF706BB,Memorial Stadium (Illinois),40-05-57.63N,088-14-09.44W,Champaign,IL,Open,
-81.192588889,28.6082500000001,159,0F744A40-0A48-4061-8C54-D82621C1E3A6,FBC Mortgage Stadium,28-36-29.70N,081-11-33.32W,Orlando,FL,Open,
